VinGroup	vin_g_rúp
VinSchool	vin_x_cun
VinEco	vin_ê_cô
PVF	pê_vê_ép
Adayroi	a_đây_rồi
Vinmec	vin_mếch
VinCommerce	vin_com_mớt_x
Vinmart	vin_mát
VinMart+	vin_mát_cộng
Vsmart	vi_x_mát
VinPro	vin_p_rô
VinUNI	vin_iu_ni
VinPearl	vin_pơn_l
Vincom Retail	vin_com rì_têu
VinFa	vin_pha
VinID	vin_ai_đi
VinCom	vin_com
VinHomes	vin_hôm_x
VinCity	vin_xi_ti
VinFast	vin_phát_x
VinVenture	vin_ven_trờ
VinFast Service	vin_phát xơ_vít
VinSmart	vin_x_mát
VinConnect	vin_con_nếch
VinTnet	vin_ti_nét
VinBrain	vin_b_rên
VinTech	vin_tếch
HSM	hát_ét_x_mờ
VinCSS	vin_xi_ét_x_ét_x
VanTix	van_tích_x
VinSoftware	vin_xóp_oe
VinMedTek	vin_mét_tếch
BigData	bích_đa_ta
VinAI	vin_ây_ai
Vin Hi-tech	vin hai-tếch
Vintech City	vin_tếch xi_ti
Trung tâm R&D	trung tâm a_en_đi
IMEEH	ai_mi
VinOptima	vin_óp_ti_ma
VinPearl luxury resort and hotel	vin_pơn lắc_xơ_ri rì_xọt en hô_theo
VinPearl Safari	vin_pơn xa_pha_ri
VinPearl Golf and Luxury resort	vin_pơn gôn en lắc_xơ_ri rì_xọt_t
Vingroup Ventures	vin_g_rúp ven_trờ_x
Marketing	ma_két_tinh
VinDigiX	vin_đi_gi_x
Grand Prix	gờ_ren p_ri_x
Sales & Marketing	xêu_x en ma_két_tinh
Logistics Vincom	lô_gích_x_tích_x vin_côm
Xavinco	xa_vin_cô
Fintech	phin_tếch
Vinoasis	vin_oa_xích_x
Vinpearl City Hotel	vin_pơn xi_ti hô_theo
Vinpearl Discovery	vin_pơn đít_x_ca_vơ_ri
Vinpearl Condotel	vin_pơn con_đo_theo
Vinpearl Golf	vin_pơn gôn
Vinpearl VAP	vin_pơn váp
Vinpearl Luxury	vin_pơn lắc_xơ_ri
VinTaTa	vin_ta_ta
E-commerce	i-com_mớt_x
Vinpearl Travel	vin_pơn tre_vồ
Wow Holiday	oào hô_li_đây
Head Office	hét_đ óp_phít_x
Vintour	vin_tua
PR Marketing	pi_a ma_két_tinh
Camera	ca_me_ra
SmartHome	x_ma_t hôm
VinSmart Myanmar	vin_x_ma_t mi_an_ma
VinSmart Ukraine	vin_x_mát u_cờ_rai_na
Fivimart	phi_vi_ma_r_t
Kinh doanh Online	kinh doanh on_lai
Vin Medtek	vin mét_tếch
Ebus	e_bớt_x
Digital Transformation	đi_gi_tờn tren_x_pho_mây_xừn
Plasma	p_lát_x_ma
Housekeeping	hau_x_kíp_pinh
B2B - Online	bê_hai_bê - on_lai
IT Helpdesk	ai_ti heo_p_đi_x
Vsmart Joy 1+	vi_x_mát_t gioi oăn_p_lớt_x
Vsmart Joy 1	vi_x_mát_t gioi oăn
Vsmart Active 1+	vi_x_mát ách_típ oăn_p_lớt_x
Vsmart Active 1	vi_x_mát_t ách_típ oăn
VinFast Klara	vin_phát_x cờ_la_ra
VinFast Lux 2.0	vin_phát_x lắc_x hai chấm không
VinFast Lux SA 2.0	vin_phát_x lắc_x ét_x_a hai chấm không
VinFast Fadil	vin_phát pha_đin
Institute of Big Data	in_x_ti_tút óp bích đa_ta
Vin Big Data Institute	vin bích đa_ta in_x_ti_tút
Viettel	việt_theo
Vinamilk	vi_na_miu
VNPT	vi_en_pi_ti
Sabeco	sa_bê_cô
Petrovietnam	pê_trô_việt_nam
Mobifone	mô_bi_phôn
Vinaphone	vi_na_phôn
Vietnam Airlines	việt_nam e_lai_x
Thaco Trường Hải	tha_cô trường hải
BIDV	bi_ai_đi_vi
FPT	ép_pê_tê
VietinBank	việt_tin_banh
Masan Consumer	ma_xan con_xiu_mơ
thegioididong.com	thế_giới_di_động_chấm_com
Vietcombank	việt_com_banh
Habeco	ha_bê_cô
Vietjet Air	việt_dét e
VPBank	vi_pi_banh
PNJ	pi_en_di
MBBank	em_bi_banh
Techcombank	tếch_com_banh
Sacombank	sa_com_banh
Vinacafe	vi_na_cà_phê
Coteccons	cô_tếch_con_x
Novaland	nô_va_len
SHB	ét_hát_bê
Vinatex	vi_na_téc_x
VIB	vi_ai_bi
CII	xi_ai_ai
Vinasun	vi_na_săn
Vicostone	vi_cô_x_tôn
Tập đoàn FLC	tập đoàn ép_lờ_xê
ACV	a_xê_vê
Viglacera	vi_g_la_xe_ra
Tập đoàn REE	tập đoàn Ri
Eximbank	e_xim_banh
ABA	a_bê_a
ABC	a_bê_xê
ACB	a_xê_bê
Acer	ây_xơ
adidas	a_di_đát
Aeon Mall	a_i_on mon
Agribank	a_g_ri_banh
AIA	a_i_a
Air Mekong	e mê_công
AirAsia	e a_xi_a
Aji Ngon	a_gi ngon
Alene	a_le_ne
Alibaba	a_li_ba_ba
Always	ôn_uây
Amazon	a_ma_dôn
Anlene	en_lin
Anmum	en_măm
AP Thailand	a_pê thái_lan
Apple	áp_pồ
Aquafina	a_qua_phi_na
Ariel	a_ri_en
Armani	ác_ma_ni
Ashima	a_si_ma
Asus	a_xút
Audi	o_đì
Avis	a_vi_x
Avon	a_von
Axe	ác_x
Baileys	bai_lây_x
Beeline	bi_lin
Benetton	be_nét_tôn
Bentley	ben_t_lây
BestMua	bét_x_t_mua
BHD Cineplex	bi_ết_đi xi_ne_p_lách_x
Bia 333	bia ba_ba_ba
Bibica	bi_bi_ca
Bidrico	bít_ri_cô
Big C	bích xi
Biore	bi_ô_rê
Birdy	bớt_đi
Biti's	bi_tít_x
BlackBerry	b_lách_be_ri
BMW	bê_mờ_vê
BreadTalk	b_rét_thoóc_cơ
British Airways	b_rít_tít_x e_uây_x
British Council	b_rít_tít_x cau_xồ
Budweiser	bất_guây_dơ
Burberry	bớc_be_ri
Burger King	bơ_gơ kinh
C2	xê hai
Calvin Klein	can_vin cờ_lin
Camry	cam_ri
Carlsberg	các_x_bớt
Castrol	ca_x_t_rôn
CC-Lemon	xi_xi-le_mừn
Centrum	xen_trum
CGV	xê_gờ_vê
Chevrolet	che_vô_lét
Chinsu	chin_xu
Chipotle	chi_pô_tồ
Circle K	xớc_cờ ca
Citimart	xi_ti_mát_t
Clean & Clear	cờ_lin en cờ_lia
Clear	cờ_lia
ClearMen	cờ_lia_men
Closeup	cờ_lâu_giấp
Co-op Mart	cóp mát_th
Coca-Cola	cô_ca_cô_la
Colgate	côn_gát
Comfort	com_pho
Converse	con_vớt_x
CoolAir	cun_e
Coop Mart	cóp mát_t
Cornetto	con_nét_tô
Corona	cô_rôn_na
Cozy	cô_gi
CSR	xê_ét_e_rờ
Daewoo	đai_u
Dairy Queen	đai_ri quyn
Dasani	đa_xa_ni
Dell	đeo
Diana	đi_a_na
Dielac	đi_e_lắc
Diet Coke	đi_ét cốc
Doublemint	đáp_bồ_min_th
Dove	đô_v
Downy	đao_ni
Dr Thanh	đốc_tơ thanh
Ducati	đu_ca_ti
Dulux	đu_lắc
Dunkin’ Donuts	đăn_kin đô_nớt_x
Dunlopillo	đăn_lóp_pi_lô
Duracell	đu_ra_xeo
Durex	đu_rếch
Dutch Lady	đớt_tr lây_đi
E100	e_một_trăm
EasyTaxi	i_gì_tắc_xi
eBay	y_bây
Electrolux	ê_lếch_trô_lắc_x
Elmich Việt Nam	eo_mích_tr việt nam
Enfa	en_pha
Enjoy	en_gioi
ENSURE	en_xua
Evian	e_vi_an
Fami	pha_mi
FamilyMart	pha_mi_li mát_th
Fanta	phan_ta
FedEx	phe_đếch_x
Ferrari	phơ_ra_ri
Ferroli	phe_rô_li
Ford	pho
Ford Escape	pho ếch_x_kếp
Ford Everest	pho e_vơ_rét_x_t
Ford Fiesta	pho phi_ét_x_ta
Ford Ranger	pho ren_gờ
FPT shop	ép_pê_tê sốp
Friso	ph_ri_sô
Fuji Xerox	phu_gi xê_rốc
G7	gờ_bảy
Galaxy Cinema	ga_la_xi xi_nê_ma
Givral	ghi_v_rồ
Go-Viet	gâu-việt
GoGi House	gô_ghi hao_x
Goldsoy	gôn_xoi
Gong Cha	gông cha
Google	gúc_gờ
Grab	gờ_ráp
Gucci	gu_chi
H&M	ết_chèn_em
Häfele	ha_phe_le
Haier	hai_ơ
Harvey Nichols	ha_vây ni_côn_x
Head & Shoulders	hét en sao_đờ
Heineken	hê_ni_ken
Heinz	hen_giờ
Hello Kitty	hê_lô kít_ti
Hermes	héc_mét
Highlands Coffee	hai_len cà_phê
Hitachi	hi_ta_chi
Honda	hon_đa
HP	ết_pi
HSBC	ết_ét_x_bi_xi
Huawei	hoa_guây
Huda	hu_đa
Huda Huế	hu_đa Huế
Huggies	ha_gít_x
Hyundai	hun_đai
IBM	ai_bi_em
Ice+	ai_xi_p_lớt
IKEA	ai_ki_a
Infiniti	in_phi_ni_ti
Isuzu	i_xu_giu
Izzi	i_gi
Jetstar Pacific Airlines	dét_x_ta pa_xi_phíc e_lai_x
Jockey	gioóc_ki
Johnnie Walker	giôn_ni oác_cơ
Johnsons' Baby	giôn_xơn bây_bi
Jollibee	giôn_li_bi
Jotun	gio_tun
Juicie	giu_xi
Kabin	ca_bin
Kangaroo	can_ga_ru
KFC	ca_ép_xê
Khải Silk	khải siu
KitKat	kít_cát
Knorr	cờ_no
Kodak	cô_đắc
Kotex	cô_tếch
Kronenbourg 1664	cờ_ro_nen_bót một_sáu_sáu_tư
Kymdan	kim_đan
L'Occitane	lo_xi_tan
L'Oréal	lo_ri_e
La Vie	la vi
Lacoste	la_cót_x
LAMBORGHINI	lam_bô_ghi_ni
Lancôme	lan_côm
Laser	la_gie
Laser Beer	la_gie bia
Lazada	la_da_đa
Legendee	le_giừn_đi
Lego	lê_gô
Lenovo	lê_nô_vô
Levi's	le_vít
Lexus	lếch_xợt_x
LG	lờ_gi
Lifebuoy	lai_ph_boi
Lipton	líp_tông
Listerine	lít_x_tơ_rin
Lix	lích
Lotte	lót_te
Lotte Cinema	lót_te xi_nê_ma
Lotte mart	lót_te mát
Lotteria	lót_te_ri_a
Louis Vuitton	lu_i vui_ton
Love'in Farm	lớp_in pham
Lovite	lo_vi_te
Lux	lắc
